Region/Country/AreaId,Region/Country/Area,Type,Year,Series,Value,,Row Labels,Row Labels,,Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels
1,"Total, all countries or areas",Region,2010,Population mid-year estimates (millions),"6,985.60",,2010,Afghanistan,Country,,2010,,,,,,,2010 Total,2015,,,,,,,,2015 Total,2017,,,,,,,,2017 Total,2020,,,,,,,,2020 Total,2022,,,,,,,2022 Total,(blank),(blank) Total,Grand Total,,Afghanistan
202,Sub-Saharan Africa,Region,2010,Population mid-year estimates for males (millions),421.27,,,Georgia,Country,Gabon,37.4,6.1,6.6,1.71,0.85,0.87,102.4,155.93,36.7,5.9,7.9,2.03,0.99,1.04,104.4,268,426.96,,,,,,,,,,36.5,5.9,8.9,2.29,1.12,1.17,104,268,427.88,36.3,6,9.3,2.39,1.17,1.22,103.6,159.98,,,1170.75,,Georgia
202,Sub-Saharan Africa,Region,2010,Population mid-year estimates for females (millions),426.85,,,Germany,Country,Gambia,45.7,4.2,191.4,1.94,0.98,0.96,97.9,343.08,45.4,3.8,222.6,2.25,1.13,1.12,98.6,11,385.9,,,,,,,,,,43.9,4,254.3,2.57,1.29,1.28,98.9,11,417.24,43.1,4,267.4,2.71,1.36,1.35,99,418.92,,,1565.14,,Germany
202,Sub-Saharan Africa,Region,2010,Sex ratio (males per 100 females),98.7,,,Ghana,Country,Georgia,18.7,17.8,55.2,3.84,2.03,1.8,88.6,187.97,19.4,19.5,54.3,3.77,1.99,1.78,89.2,70,259.94,,,,,,,,,,20.9,20.7,54.2,3.77,1.99,1.77,88.8,70,262.13,21.3,21,53.9,3.74,1.98,1.76,88.7,192.38,,,902.42,,Ghana
202,Sub-Saharan Africa,Region,2010,Population aged 0 to 14 years old (percentage),43.7,,,Gibraltar,Country,Germany,13.6,25.9,233.3,81.33,41.51,39.82,95.9,531.36,13.2,27.3,235.5,82.07,41.64,40.44,97.1,357,894.25,,,,,,,,,,13.8,28.8,239.1,83.33,42.21,41.12,97.4,358,903.76,14,29.7,239.2,83.37,42.23,41.14,97.4,547.04,,,2876.41,,Gibraltar
202,Sub-Saharan Africa,Region,2010,Population aged 60+ years old (percentage),4.6,,,Greece,Country,Ghana,39.2,4.8,112.4,25.57,12.83,12.74,99.3,306.84,38.9,5,126.9,28.87,14.47,14.4,99.5,239,567.04,,,,,,,,,,37.6,5.6,141.4,32.18,16.13,16.05,99.5,239,587.46,36.9,5.9,147.1,33.48,16.78,16.7,99.5,356.36,,,1817.7,,Greece
202,Sub-Saharan Africa,Region,2010,Population density,38.8,,,Greenland,Country,Gibraltar,18.1,22,3126.2,0.03,0.02,0.02,99.6,3265.97,17.8,23.7,3252,0.03,0.02,0.02,99.5,0,3393.07,,,,,,,,,,17.2,26.3,3270.9,0.03,0.02,0.02,99.8,0,3414.27,17,27.2,3264.9,0.03,0.02,0.02,99.8,3408.97,,,13482.28,,Greenland
202,Sub-Saharan Africa,Region,2015,Population mid-year estimates (millions),972.75,,,Grenada,Country,Greece,14.6,25,84.3,11.03,5.58,5.45,97.6,243.56,14.6,26.7,82.6,10.81,5.5,5.31,96.4,132,373.92,,,,,,,,,,14.2,28.7,80.4,10.51,5.36,5.15,96.1,132,372.42,13.9,29.4,79.4,10.39,5.3,5.08,95.8,239.27,,,1229.17,,Grenada
202,Sub-Saharan Africa,Region,2015,Population mid-year estimates for males (millions),483.99,,,Guadeloupe,Country,Greenland,22.4,10.9,0.1,0.06,0.03,0.03,113,146.52,21.1,12.8,0.1,0.06,0.03,0.03,111.9,2166,2312.02,,,,,,,,,,20.9,15.3,0.1,0.06,0.03,0.03,111.5,2166,2313.92,20.9,16.9,0.1,0.06,0.03,0.03,110.6,148.62,,,4921.08,,Guadeloupe
202,Sub-Saharan Africa,Region,2015,Population mid-year estimates for females (millions),488.76,,,Guam,Country,Grenada,24.7,12.1,335.4,0.11,0.06,0.06,101.9,474.33,24,12.9,349.9,0.12,0.06,0.06,101.1,0,488.14,,,,,,,,,,24.1,14.3,363.7,0.12,0.06,0.06,100.3,0,502.64,24,14.9,368.9,0.13,0.06,0.06,100,508.05,,,1973.16,,Guam
202,Sub-Saharan Africa,Region,2015,Sex ratio (males per 100 females),99,,,Guatemala,Country,Guadeloupe,22,18.8,247.6,0.4,0.22,0.19,87.1,376.31,20.5,22.2,245.1,0.4,0.22,0.18,84.5,2,375.1,,,,,,,,,,18.7,25.8,243,0.4,0.22,0.18,82.8,2,373.1,18.1,27,243.1,0.4,0.22,0.18,82.6,371.6,,,1496.11,,Guatemala
202,Sub-Saharan Africa,Region,2015,Population aged 0 to 14 years old (percentage),43.2,,,Guinea,Country,Guam,27.1,10.6,304.8,0.16,0.08,0.08,103.1,445.92,26.9,13.2,310.5,0.17,0.08,0.09,102.4,1,454.34,,,,,,,,,,26.5,16,312.8,0.17,0.08,0.09,101.7,1,458.34,26.1,17,317.5,0.17,0.09,0.09,101.3,462.25,,,1820.85,,Guinea
202,Sub-Saharan Africa,Region,2015,Population aged 60+ years old (percentage),4.7,,,Guinea-Bissau,Country,Guatemala,39.1,6,135.7,14.54,7.33,7.21,98.3,308.18,36.2,6.5,149.3,16,8.07,7.93,98.2,109,431.2,,,,,,,,,,33.5,7.1,162,17.36,8.76,8.6,98.1,109,444.42,32.4,7.1,166.5,17.84,9.01,8.83,98,339.68,,,1523.48,,Guinea-Bissau
202,Sub-Saharan Africa,Region,2015,Population density,44.5,,,Guyana,Country,Guinea,44.5,5.4,41.8,10.27,5.24,5.04,96.2,208.45,43.3,5.2,47.3,11.63,5.91,5.71,96.6,246,461.65,,,,,,,,,,42.1,5.2,53.7,13.21,6.69,6.52,97.5,246,470.92,41.5,5.1,56.4,13.86,7.01,6.85,97.8,228.52,,,1369.54,,Guyana
202,Sub-Saharan Africa,Region,2015,Surface area (thousand km2),"22,431",,,Haiti,Country,Guinea-Bissau,43.6,4.2,55.7,1.57,0.8,0.77,96.2,202.84,42.8,4.3,63.6,1.79,0.91,0.88,96.9,36,247.18,,,,,,,,,,41,4.5,71.7,2.02,1.02,0.99,97.4,36,254.63,40.1,4.5,74.9,2.11,1.07,1.04,97.6,221.32,,,925.97,,Haiti
202,Sub-Saharan Africa,Region,2020,Population mid-year estimates (millions),"1,109.26",,,Holy See,Country,Guyana,32.3,7.1,3.8,0.75,0.38,0.37,98.9,143.6,30.1,8.3,3.8,0.76,0.38,0.37,96.9,215,355.61,,,,,,,,,,28.9,9.6,4.1,0.8,0.41,0.39,95.7,215,354.9,28.6,9.9,4.1,0.81,0.41,0.4,95.9,140.12,,,994.23,,Holy See
